"dyad_number","participant_number","individual_level_change_score","dyad_level_change_score"
1,1,0.914285714285714,0.153571428571428
1,2,0.760714285714286,0.153571428571428
2,2,0.417857142857143,0.417857142857143
2,1,0.835714285714286,0.417857142857143
4,2,0.539285714285714,0.203571428571429
4,1,0.335714285714286,0.203571428571429
5,1,0.764285714285714,0.117857142857143
5,2,0.646428571428571,0.117857142857143
6,1,0.575,0.00357142857142856
6,2,0.578571428571428,0.00357142857142856
7,1,0.807142857142857,0.15
7,2,0.657142857142857,0.15
8,2,0.878571428571428,0.15
8,1,0.728571428571428,0.15
9,2,0.867857142857143,0.0714285714285715
9,1,0.796428571428571,0.0714285714285715
10,1,0.95,0.378571428571429
10,2,0.571428571428571,0.378571428571429
12,2,0.842857142857143,0.625
12,1,0.217857142857143,0.625
13,2,0.721428571428571,0.0321428571428571
13,1,0.689285714285714,0.0321428571428571
14,1,0.65,0.025
14,2,0.625,0.025
15,2,0.514285714285714,0.317857142857143
15,1,0.832142857142857,0.317857142857143
16,1,0.810714285714286,0.0678571428571428
16,2,0.878571428571428,0.0678571428571428
17,2,0.892857142857143,0.246428571428571
17,1,0.646428571428571,0.246428571428571
18,1,0.660714285714286,0.0214285714285714
18,2,0.639285714285714,0.0214285714285714
19,1,0.478571428571428,0.289285714285714
19,2,0.767857142857143,0.289285714285714
20,1,0.742857142857143,0.0571428571428571
20,2,0.8,0.0571428571428571
21,1,0.785714285714286,0.15
21,2,0.935714285714286,0.15
22,1,-0.307142857142857,1.17857142857143
22,2,0.871428571428571,1.17857142857143
23,1,0.953571428571429,0.296428571428571
23,2,0.657142857142857,0.296428571428571
24,1,0.467857142857143,0.457142857142857
24,2,0.925,0.457142857142857
25,1,0.807142857142857,0.0571428571428571
25,2,0.75,0.0571428571428571
26,2,0.0642857142857143,0.714285714285714
26,1,0.778571428571428,0.714285714285714
27,2,0.678571428571428,0.317857142857143
27,1,0.360714285714286,0.317857142857143
28,1,0.596428571428571,0.0964285714285714
28,2,0.5,0.0964285714285714
29,1,0.878571428571428,0.257142857142857
29,2,0.621428571428571,0.257142857142857
30,1,0.810714285714286,0.546428571428571
30,2,0.264285714285714,0.546428571428571
31,1,0.778571428571428,0.0750000000000001
31,2,0.703571428571428,0.0750000000000001
32,1,0.296428571428571,0.55
32,2,0.846428571428571,0.55
33,1,0.796428571428571,0.2
33,2,0.596428571428571,0.2
34,2,0.6,0.342857142857143
34,1,0.942857142857143,0.342857142857143
35,1,0.860714285714286,0.0142857142857145
35,2,0.846428571428571,0.0142857142857145
36,1,0.842857142857143,0.3
36,2,0.542857142857143,0.3
37,1,0.646428571428571,0.15
37,2,0.796428571428571,0.15
38,1,0.896428571428571,0.282142857142857
38,2,0.614285714285714,0.282142857142857
39,1,0.871428571428571,0.785714285714285
39,2,0.0857142857142857,0.785714285714285
40,1,0.360714285714286,0.528571428571428
40,2,0.889285714285714,0.528571428571428
41,1,0.857142857142857,0
41,2,0.857142857142857,0
42,1,0.403571428571428,0.339285714285714
42,2,0.742857142857143,0.339285714285714
43,1,0.842857142857143,0.3
43,2,0.542857142857143,0.3
44,1,0.846428571428571,0.103571428571428
44,2,0.742857142857143,0.103571428571428
46,1,0.907142857142857,0.571428571428571
46,2,0.335714285714286,0.571428571428571
47,1,0.471428571428571,0.357142857142857
47,2,0.828571428571429,0.357142857142857
48,1,0.442857142857143,0.282142857142857
48,2,0.725,0.282142857142857
49,1,0.782142857142857,0.1
49,2,0.882142857142857,0.1
50,1,0.878571428571428,0.253571428571429
50,2,0.625,0.253571428571429
51,2,0.382142857142857,0.492857142857143
52,1,0.771428571428571,0.146428571428571
52,2,0.917857142857143,0.146428571428571
51,1,0.875,0.492857142857143
120,2,0.739285714285714,0.0892857142857143
120,1,0.65,0.0892857142857143
53,1,0.671428571428571,0.228571428571428
53,2,0.9,0.228571428571428
54,1,0.696428571428571,0.0785714285714286
54,2,0.775,0.0785714285714286
55,1,0.917857142857143,0.0464285714285714
55,2,0.964285714285714,0.0464285714285714
100,1,0.792857142857143,0.0857142857142857
100,2,0.707142857142857,0.0857142857142857
102,1,0.657142857142857,0.235714285714286
102,2,0.892857142857143,0.235714285714286
103,2,0.728571428571428,0.0499999999999999
103,1,0.678571428571428,0.0499999999999999
104,1,0.632142857142857,0.214285714285714
104,2,0.846428571428571,0.214285714285714
105,1,0.785714285714286,0.0178571428571429
105,2,0.803571428571428,0.0178571428571429
106,2,0.596428571428571,0.3
106,1,0.896428571428571,0.3
107,1,0.771428571428571,0.0750000000000001
107,2,0.696428571428571,0.0750000000000001
108,1,0.628571428571428,0.103571428571429
108,2,0.732142857142857,0.103571428571429
109,1,0.825,0.264285714285714
109,2,0.560714285714286,0.264285714285714
110,1,0.914285714285714,0.25
110,2,0.664285714285714,0.25
111,1,0.682142857142857,0.360714285714286
111,2,0.321428571428571,0.360714285714286
112,1,0.785714285714286,0.353571428571429
112,2,0.432142857142857,0.353571428571429
113,1,0.882142857142857,0.489285714285714
113,2,0.392857142857143,0.489285714285714
114,1,0.821428571428571,0.0857142857142856
114,2,0.735714285714286,0.0857142857142856
115,1,0.621428571428571,0.107142857142857
115,2,0.728571428571428,0.107142857142857
116,1,0.542857142857143,0.410714285714286
116,2,0.953571428571429,0.410714285714286
