"Dyad","RR","DET","NRLINE","maxL","L","ENTR","rENTR","LAM","TT"
16,"0.227204733682509","77.3756719782655","49230","34","4.07852935202113","1.87178877927123","0.550332300431354","87.7404188905374","6.2572347266881"
17,"8.68735402292679","84.5300829765991","2415466","39","4.07675868755758","1.93197337374057","0.531114120438013","90.4559356514384","6.04781617797715"
18,"0.0290181548392066","47.6698654312817","7579","6","2.28090777147381","0.671311068137307","0.417109018590237","78.6758217515994","4.67032247503683"
19,"0.913316760278199","90.6662821774703","153174","45","6.50690717745831","2.44142367393941","0.653194081680419","93.9366538887686","8.98072775342656"
21,"0.622623826952546","81.3947989341578","157352","61","4.06895368346128","1.84788140729881","0.451325329174523","88.152675792771","5.15210009733336"
23,"0.352395486379352","68.3213239654274","80156","53","3.79475023703778","1.67424206814433","0.427973471991659","79.1117859517349","5.26247217200317"
24,"0.918422110405395","86.0230329652242","175875","45","4.75460980810235","2.13716457004305","0.56821347025003","92.4251480066044","8.31775848022515"
25,"0.0959765696234726","72.0275830477141","24594","24","3.58026347889729","1.67016688701218","0.532664636575404","79.6840873953979","4.01355527172346"
26,"1.7909188885975","86.7396983825927","358559","208","5.00109605392697","2.11938540783539","0.397791791830793","93.7962706323788","8.58903885082012"
27,"0.8902012804118","78.0312725858231","157958","31","4.11469504551843","1.86792946883327","0.549197608731668","87.395519933152","6.5623377325833"
28,"0.21460558010253","50.6153907751441","48441","14","2.60971078218864","1.03970300712758","0.405350306080332","60.7022741832159","2.84724308894231"
29,"1.982321854345","91.4839463055878","314796","198","7.0380150954904","2.56420217670378","0.550972071907959","95.8778649909839","11.7982866201906"
30,"0.0229922910782103","67.8170313735829","7425","22","3.4643771043771","1.62136898807049","0.532552812874943","77.5428420775112","4.98846675712347"
31,"1.47794307650777","91.0026546722988","257494","98","6.08004846714875","2.37730711843398","0.522040269208602","95.466828802991","13.8810324718132"
32,"3.22738841704612","95.8081765156383","443479","292","8.47957851442795","2.75297628152583","0.507465741187406","96.9118833256986","11.6424951028404"
33,"3.13684221203551","89.3729093746363","663544","109","5.38156927046284","2.30815247525403","0.61753785405841","92.891880020473","6.60335655726038"
34,"0.233562340062955","76.69492160566","49482","52","4.13615051938079","1.82646256739843","0.502108400240839","84.3181341247714","4.70088791392458"
35,"0.102988838001872","75.7903636201052","24030","24","3.87981689554723","1.81178555043392","0.577830933710406","82.9684667474169","4.82266219345083"
36,"2.22877202946195","82.3890774690759","514648","86","4.24692411123719","1.93051162472399","0.435701071014257","90.1879665946062","6.82552520169342"
37,"0.506636527671878","84.404326482446","112834","34","4.39921477568818","1.99885512141633","0.571671900111087","92.2314100177011","6.88908363497809"
38,"0.956453715376566","75.6318634269078","246935","36","3.82717719237856","1.78127991716062","0.501014214741722","87.4130692612908","5.72373226852798"
39,"0.686944796290147","84.5744567912182","156421","50","4.3290414969857","1.99932684354932","0.513725375377671","88.5739122397925","6.42281392926686"
40,"0.522136298927089","78.8136404745438","126827","72","4.08833292595425","1.84615161849165","0.434542470524485","89.5455961817615","6.48813312921948"
41,"1.84994523207878","85.5183940084414","392751","54","4.77614060817158","2.07579236417545","0.555370745991405","94.8005138852037","9.55671472363033"
42,"0.102840401448772","57.8751212538929","24233","15","2.80675112449965","1.22982943770127","0.479475134323277","74.9842582665373","3.46736179421601"
43,"0.456552622870906","78.998212171323","115386","53","4.08221101346784","1.89243707835418","0.488850119903839","86.2427757298064","5.10626086093044"
46,"0.867744137074349","86.7328996483311","188815","37","4.59263829674549","2.01763992373517","0.563033140995324","91.8538033454557","5.53337711713774"
47,"0.449915864132743","81.2373177764725","112900","63","4.31201062887511","1.95859561689065","0.474565505787195","89.8101671383564","5.71416437512608"
49,"1.80188864771879","84.9314770937957","400698","106","4.97658336203326","2.14160691770112","0.464041385243588","90.8202262361147","7.4462284674668"
100,"4.93961476838347","93.1887686875862","872221","145","6.50360745728433","2.38320584599677","0.483678332450368","96.451748884051","11.0157904315538"
102,"1.92563878854373","90.2116713316473","289641","196","7.20178427777835","2.60298603436359","0.493644273141677","94.8840184338813","10.6564391253242"
103,"0.129868348590294","78.4520810843229","37463","17","3.49173851533513","1.66207557497741","0.599467047400645","90.071368597817","4.41746573327843"
104,"1.10334983087569","79.9734594057352","287010","95","4.05672276227309","1.82438422368787","0.417531982366562","94.1630611800536","7.52669115345972"
106,"0.149205248848757","79.8270024814394","37212","58","4.27061163065678","1.90834516142892","0.490347707563829","90.7418197892283","6.24535868625756"
108,"0.334297820065224","91.9399737000685","61309","48","6.14673212742012","2.43847063556218","0.633344715012777","95.3374954560647","10.1502896179122"
111,"0.0832427963355779","79.5898501483541","20929","31","4.06292703903674","1.88047494600201","0.552886155958119","93.8823837737156","6.95534290271132"
112,"0.807608306076856","85.0847820904532","142212","102","5.47118386634039","2.26071033120968","0.510224284560772","89.8712029586795","7.10459296143572"
113,"18.0884470255326","94.7399671497986","2210857","263","8.18347048226101","2.75787840169533","0.503973316774004","98.5613702179574","20.2372223494513"
114,"0.0233729265133006","37.3483992467043","3415","9","2.90366032210835","1.286396090951","0.618625753677983","70.2372881355932","3.91682419659735"
116,"4.45367341046453","92.040146048361","850180","142","6.15007410195491","2.43601522677939","0.494396144878355","96.4902308770964","10.8539936121215"
120,"1.55172198813669","90.2247427346672","292846","117","5.78581575298963","2.35355752480099","0.495111574658735","94.6884992744652","8.81491047173366"
1000,"0.390579884478205","79.8332445881475","82834","82","4.5069053770191","1.94909476036032","0.448706737772927","87.4379585613443","7.82454025298046"
